month,category,amount_mvr,cumulative_mvr
2020-12-01,Drainage and stormwater,1165652.9,23663303.56
2021-01-01,Drainage and stormwater,14355.0,23677658.56
2021-02-01,Drainage and stormwater,15451.0,23693109.56
2021-03-01,Drainage and stormwater,6650.0,23699759.56
2021-04-01,Drainage and stormwater,2433018.0,26132777.56
2021-05-01,Drainage and stormwater,0.0,26132777.56
2021-06-01,Drainage and stormwater,0.0,26132777.56
2021-07-01,Drainage and stormwater,4694331.36,30827108.92
2021-08-01,Drainage and stormwater,4100.0,30831208.92
2021-09-01,Drainage and stormwater,12837157.58,43668366.5
2021-10-01,Drainage and stormwater,80969.8,43749336.3
2021-11-01,Drainage and stormwater,113261.0,43862597.3
2021-12-01,Drainage and stormwater,226522.0,44089119.3
2022-01-01,Drainage and stormwater,0.0,44089119.3
2022-02-01,Drainage and stormwater,582014.79,44671134.09
2022-03-01,Drainage and stormwater,425481.88,45096615.97
2022-04-01,Drainage and stormwater,4803158.7,49899774.67
2022-05-01,Drainage and stormwater,1120747.11,51020521.78
2022-06-01,Drainage and stormwater,299322.8,51319844.58
2022-07-01,Drainage and stormwater,0.0,51319844.58
2022-08-01,Drainage and stormwater,299322.8,51619167.38
2022-09-01,Drainage and stormwater,892014.79,52511182.17
2022-10-01,Drainage and stormwater,2280744.76,54791926.93
2022-11-01,Drainage and stormwater,149661.4,54941588.33
2022-12-01,Drainage and stormwater,3478497.67,58420086.0
2023-01-01,Drainage and stormwater,0.0,58420086.0
2023-02-01,Drainage and stormwater,0.0,58420086.0
2023-03-01,Drainage and stormwater,0.0,58420086.0
2023-04-01,Drainage and stormwater,0.0,58420086.0
2023-05-01,Drainage and stormwater,61389.4,58481475.4
2023-06-01,Drainage and stormwater,0.0,58481475.4
2023-07-01,Drainage and stormwater,15072051.29,73553526.69
2023-08-01,Drainage and stormwater,0.0,73553526.69
2023-09-01,Drainage and stormwater,0.0,73553526.69
2023-10-01,Drainage and stormwater,0.0,73553526.69
2023-11-01,Drainage and stormwater,0.0,73553526.69
2023-12-01,Drainage and stormwater,1178286.75,74731813.44
2024-01-01,Drainage and stormwater,0.0,74731813.44
2024-02-01,Drainage and stormwater,0.0,74731813.44
2024-03-01,Drainage and stormwater,0.0,74731813.44
2024-04-01,Drainage and stormwater,0.0,74731813.44
2024-05-01,Drainage and stormwater,0.0,74731813.44
2024-06-01,Drainage and stormwater,0.0,74731813.44
2024-07-01,Drainage and stormwater,0.0,74731813.44
2024-08-01,Drainage and stormwater,20250.0,74752063.44
2024-09-01,Drainage and stormwater,2130243.92,76882307.36
2024-10-01,Drainage and stormwater,0.0,76882307.36
2024-11-01,Drainage and stormwater,0.0,76882307.36
2024-12-01,Drainage and stormwater,366651.35,77248958.71
2025-01-01,Drainage and stormwater,0.0,77248958.71
2025-02-01,Drainage and stormwater,0.0,77248958.71
2025-03-01,Drainage and stormwater,0.0,77248958.71
2025-04-01,Drainage and stormwater,0.0,77248958.71
2025-05-01,Drainage and stormwater,0.0,77248958.71
2025-06-01,Drainage and stormwater,0.0,77248958.71
2025-07-01,Drainage and stormwater,0.0,77248958.71
2025-08-01,Drainage and stormwater,0.0,77248958.71
2025-09-01,Drainage and stormwater,0.0,77248958.71
2025-10-01,Drainage and stormwater,0.0,77248958.71
2025-11-01,Drainage and stormwater,0.0,77248958.71
2025-12-01,Drainage and stormwater,0.0,77248958.71
2019-01-01,Energy and climate,0.0,0.0
2019-02-01,Energy and climate,0.0,0.0
2019-03-01,Energy and climate,0.0,0.0
2019-04-01,Energy and climate,0.0,0.0
2019-05-01,Energy and climate,0.0,0.0
2019-06-01,Energy and climate,0.0,0.0
2019-07-01,Energy and climate,0.0,0.0
2019-08-01,Energy and climate,0.0,0.0
2019-09-01,Energy and climate,0.0,0.0
2019-10-01,Energy and climate,0.0,0.0
2019-11-01,Energy and climate,0.0,0.0
2019-12-01,Energy and climate,0.0,0.0
2020-01-01,Energy and climate,0.0,0.0
2020-02-01,Energy and climate,0.0,0.0
2020-03-01,Energy and climate,0.0,0.0
2020-04-01,Energy and climate,0.0,0.0
2020-05-01,Energy and climate,0.0,0.0
2020-06-01,Energy and climate,0.0,0.0
2020-07-01,Energy and climate,0.0,0.0
2020-08-01,Energy and climate,0.0,0.0
