month,category,amount_mvr,cumulative_mvr
2023-06-01,Water and sewerage,11628924.77,1249998561.84
2023-07-01,Water and sewerage,16859163.25,1266857725.09
2023-08-01,Water and sewerage,20441604.79,1287299329.88
2023-09-01,Water and sewerage,2081897.01,1289381226.89
2023-10-01,Water and sewerage,11958605.65,1301339832.54
2023-11-01,Water and sewerage,508724.26,1301848556.8
2023-12-01,Water and sewerage,314879.15,1302163435.95
2024-01-01,Water and sewerage,84318.16,1302247754.11
2024-02-01,Water and sewerage,44454513.41,1346702267.52
2024-03-01,Water and sewerage,1858953.56,1348561221.08
2024-04-01,Water and sewerage,8776092.01,1357337313.09
2024-05-01,Water and sewerage,16313144.88,1373650457.97
2024-06-01,Water and sewerage,9656944.53,1383307402.5
2024-07-01,Water and sewerage,2058079.11,1385365481.61
2024-08-01,Water and sewerage,2141386.89,1387506868.5
2024-09-01,Water and sewerage,54630.6,1387561499.1
2024-10-01,Water and sewerage,1626884.12,1389188383.22
2024-11-01,Water and sewerage,15716155.67,1404904538.89
2024-12-01,Water and sewerage,97393136.83,1502297675.72
2025-01-01,Water and sewerage,0.0,1502297675.72
2025-02-01,Water and sewerage,0.0,1502297675.72
2025-03-01,Water and sewerage,0.0,1502297675.72
2025-04-01,Water and sewerage,0.0,1502297675.72
2025-05-01,Water and sewerage,0.0,1502297675.72
2025-06-01,Water and sewerage,4254858.39,1506552534.11
2025-07-01,Water and sewerage,1369112.98,1507921647.09
2025-08-01,Water and sewerage,0.0,1507921647.09
2025-09-01,Water and sewerage,971033.43,1508892680.52
2025-10-01,Water and sewerage,353125.44,1509245805.96
2025-11-01,Water and sewerage,1823413.29,1511069219.25
2025-12-01,Water and sewerage,822638.01,1511891857.26
2019-01-01,Water supply,0.0,0.0
2019-02-01,Water supply,0.0,0.0
2019-03-01,Water supply,72088.88,72088.88
2019-04-01,Water supply,0.0,72088.88
2019-05-01,Water supply,3972392.32,4044481.2
2019-06-01,Water supply,7983091.56,12027572.76
2019-07-01,Water supply,1435560.04,13463132.8
2019-08-01,Water supply,1048766.6,14511899.4
2019-09-01,Water supply,3671955.79,18183855.19
2019-10-01,Water supply,4631022.55,22814877.74
2019-11-01,Water supply,293060.5,23107938.24
2019-12-01,Water supply,21567449.44,44675387.68
2020-01-01,Water supply,0.0,44675387.68
2020-02-01,Water supply,105474.19,44780861.87
2020-03-01,Water supply,329995.69,45110857.56
2020-04-01,Water supply,2956780.3,48067637.86
2020-05-01,Water supply,1237178.73,49304816.59
2020-06-01,Water supply,215799.04,49520615.63
2020-07-01,Water supply,566711.78,50087327.41
2020-08-01,Water supply,53936.49,50141263.9
2020-09-01,Water supply,13758992.77,63900256.67
2020-10-01,Water supply,2073105.62,65973362.29
2020-11-01,Water supply,17250.0,65990612.29
2020-12-01,Water supply,2736.0,65993348.29
2021-01-01,Water supply,746793.8,66740142.09
2021-02-01,Water supply,3471561.39,70211703.48
2021-03-01,Water supply,1829015.84,72040719.32
2021-04-01,Water supply,3045827.78,75086547.1
2021-05-01,Water supply,2504373.32,77590920.42
2021-06-01,Water supply,4317821.95,81908742.37
2021-07-01,Water supply,196498.56,82105240.93
2021-08-01,Water supply,0.0,82105240.93
2021-09-01,Water supply,6738783.0,88844023.93
2021-10-01,Water supply,431252.84,89275276.77
2021-11-01,Water supply,10793566.14,100068842.91
2021-12-01,Water supply,8676808.17,108745651.08
2022-01-01,Water supply,26899.0,108772550.08
2022-02-01,Water supply,13317738.07,122090288.15
2022-03-01,Water supply,19626352.86,141716641.01
2022-04-01,Water supply,1392692.24,143109333.25
2022-05-01,Water supply,2210445.01,145319778.26
2022-06-01,Water supply,15765215.74,161084994.0
2022-07-01,Water supply,173377.18,161258371.18
2022-08-01,Water supply,6012331.84,167270703.02
2022-09-01,Water supply,668748.99,167939452.01
2022-10-01,Water supply,43309280.56,211248732.57
2022-11-01,Water supply,10539014.63,221787747.2
2022-12-01,Water supply,16569414.5,238357161.7
2023-01-01,Water supply,19599669.82,257956831.52
2023-02-01,Water supply,8955631.56,266912463.08
2023-03-01,Water supply,15319641.73,282232104.81
2023-04-01,Water supply,1188412.4,283420517.21
2023-05-01,Water supply,2675715.96,286096233.17
2023-06-01,Water supply,11154059.68,297250292.85
2023-07-01,Water supply,5874205.91,303124498.76
2023-08-01,Water supply,11590636.78,314715135.54
2023-09-01,Water supply,16087996.22,330803131.76
2023-10-01,Water supply,515152.52,331318284.28
2023-11-01,Water supply,60009.8,331378294.08
2023-12-01,Water supply,4691431.25,336069725.33
2024-01-01,Water supply,0.0,336069725.33
2024-02-01,Water supply,20103547.11,356173272.44
2024-03-01,Water supply,2872131.72,359045404.16
2024-04-01,Water supply,1662917.9,360708322.06
2024-05-01,Water supply,3247781.7,363956103.76
2024-06-01,Water supply,66735.36,364022839.12
2024-07-01,Water supply,0.0,364022839.12
2024-08-01,Water supply,0.0,364022839.12
2024-09-01,Water supply,0.0,364022839.12
2024-10-01,Water supply,0.0,364022839.12
2024-11-01,Water supply,3166418.68,367189257.8
2024-12-01,Water supply,44946390.55,412135648.35
2025-01-01,Water supply,0.0,412135648.35
2025-02-01,Water supply,0.0,412135648.35
2025-03-01,Water supply,0.0,412135648.35
2025-04-01,Water supply,0.0,412135648.35
2025-05-01,Water supply,0.0,412135648.35
2025-06-01,Water supply,1872749.7,414008398.05
2025-07-01,Water supply,0.0,414008398.05
2025-08-01,Water supply,0.0,414008398.05
2025-09-01,Water supply,1019071.8,415027469.85
2025-10-01,Water supply,322536.6,415350006.45
2025-11-01,Water supply,11291479.6,426641486.05
2025-12-01,Water supply,974692.79,427616178.84
