month,atoll_code,atoll_label,establishment_type,amount_mvr
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,2251532.83
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,1149.69
2019-03-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,7359.57
2019-03-01,HA,"HA. (Haa Alif)",Resorts,1141559.52
2019-03-01,HA,"HA. (Haa Alif)",Guesthouse,33976.50
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Resorts,276480.00
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Hotels,280967.88
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,14046.33
2019-03-01,K,"K. (Kaafu)",Resorts,25353988.76
2019-03-01,K,"K. (Kaafu)",Hotels,164107.32
2019-03-01,K,"K. (Kaafu)",Guesthouse,1581300.54
2019-03-01,L,"L. (Laamu)",Resorts,482724.30
2019-03-01,L,"L. (Laamu)",Guesthouse,33745.47
2019-03-01,Lh,"Lh. (Lhaviyani)",Resorts,5080959.36
2019-03-01,Lh,"Lh. (Lhaviyani)",Guesthouse,1650.36
2019-03-01,Male,"Malé City",Hotels,687755.04
2019-03-01,Male,"Malé City",Guesthouse,1123674.51
2019-03-01,N,"N. (Noonu)",Resorts,3753603.42
2019-03-01,N,"N. (Noonu)",Guesthouse,32373.33
2019-03-01,R,"R. (Raa)",Resorts,4730153.32
2019-03-01,R,"R. (Raa)",Guesthouse,459.90
2019-03-01,S,"S. (Addu)",Resorts,911398.62
2019-03-01,S,"S. (Addu)",Hotels,250185.60
2019-03-01,S,"S. (Addu)",Guesthouse,19583.10
2019-03-01,Sh,"Sh. (Shaviyani)",Resorts,513521.84
2019-03-01,Th,"Th. (Thaa)",Resorts,277500.60
2019-03-01,V,"V. (Vaavu)",Resorts,1116361.26
2019-03-01,V,"V. (Vaavu)",Guesthouse,416729.97
2019-04-01,AA,"AA. (Alif Alif)",Resorts,6069432.12
2019-04-01,AA,"AA. (Alif Alif)",Guesthouse,412624.65
2019-04-01,ADh,"ADh. (Alif Dhaal)",Resorts,8810866.26
2019-04-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,289674.42
2019-04-01,B,"B. (Baa)",Resorts,7371384.30
2019-04-01,B,"B. (Baa)",Hotels,255541.62
2019-04-01,B,"B. (Baa)",Guesthouse,234123.45
2019-04-01,Dh,"Dh. (Dhaalu)",Resorts,4803914.82
2019-04-01,Dh,"Dh. (Dhaalu)",Guesthouse,7639.86
2019-04-01,F,"F. (Faafu)",Guesthouse,28808.07
2019-04-01,GA,"GA. (Gaafu Alif)",Resorts,1134944.76
2019-04-01,GA,"GA. (Gaafu Alif)",Hotels,313067.52
2019-04-01,GA,"GA. (Gaafu Alif)",Guesthouse,3409.92
2019-04-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1434810.40
2019-04-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,1841.01
2019-04-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,7820.49
2019-04-01,HA,"HA. (Haa Alif)",Resorts,1075993.02
2019-04-01,HA,"HA. (Haa Alif)",Guesthouse,29316.66
2019-04-01,HDh,"HDh. (Haa Dhaalu)",Hotels,266700.24
2019-04-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,5059.41
2019-04-01,K,"K. (Kaafu)",Resorts,28116072.24
2019-04-01,K,"K. (Kaafu)",Hotels,185121.00
2019-04-01,K,"K. (Kaafu)",Guesthouse,1156731.10
2019-04-01,L,"L. (Laamu)",Resorts,370667.52
2019-04-01,L,"L. (Laamu)",Guesthouse,10352.43
2019-04-01,Lh,"Lh. (Lhaviyani)",Resorts,5158765.02
2019-04-01,Lh,"Lh. (Lhaviyani)",Guesthouse,875.52
2019-04-01,M,"M. (Meemu)",Guesthouse,368.16
2019-04-01,Male,"Malé City",Hotels,551770.80
2019-04-01,Male,"Malé City",Guesthouse,796426.64
2019-04-01,N,"N. (Noonu)",Resorts,3382059.60
2019-04-01,N,"N. (Noonu)",Guesthouse,23369.88
2019-04-01,R,"R. (Raa)",Resorts,4864842.37
2019-04-01,S,"S. (Addu)",Resorts,752938.57
2019-04-01,S,"S. (Addu)",Hotels,288169.20
2019-04-01,S,"S. (Addu)",Guesthouse,8560.38
2019-04-01,Sh,"Sh. (Shaviyani)",Resorts,329011.20
2019-04-01,Th,"Th. (Thaa)",Resorts,208140.54
2019-04-01,V,"V. (Vaavu)",Resorts,1206141.60
2019-04-01,V,"V. (Vaavu)",Guesthouse,364568.91
2019-05-01,AA,"AA. (Alif Alif)",Resorts,5568305.16
2019-05-01,AA,"AA. (Alif Alif)",Guesthouse,253365.39
2019-05-01,ADh,"ADh. (Alif Dhaal)",Resorts,9882380.04
2019-05-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,245127.54
2019-05-01,B,"B. (Baa)",Resorts,5790590.34
2019-05-01,B,"B. (Baa)",Hotels,297492.48
2019-05-01,B,"B. (Baa)",Guesthouse,149614.44
2019-05-01,Dh,"Dh. (Dhaalu)",Resorts,2715028.62
2019-05-01,Dh,"Dh. (Dhaalu)",Guesthouse,367.68
2019-05-01,F,"F. (Faafu)",Guesthouse,6810.96
2019-05-01,GA,"GA. (Gaafu Alif)",Resorts,963946.80
2019-05-01,GA,"GA. (Gaafu Alif)",Hotels,262471.68
2019-05-01,GA,"GA. (Gaafu Alif)",Guesthouse,5019.45
2019-05-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,1512990.72
2019-05-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,598.65
2019-05-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,8982.84
2019-05-01,HA,"HA. (Haa Alif)",Resorts,1113292.80
2019-05-01,HA,"HA. (Haa Alif)",Guesthouse,14736.84
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Resorts,356018.58
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Hotels,222842.88
2019-05-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,5475.48
2019-05-01,K,"K. (Kaafu)",Resorts,27359381.04
2019-05-01,K,"K. (Kaafu)",Hotels,184688.64
2019-05-01,K,"K. (Kaafu)",Guesthouse,1328763.27
2019-05-01,L,"L. (Laamu)",Resorts,481829.40
2019-05-01,L,"L. (Laamu)",Guesthouse,7598.25
2019-05-01,Lh,"Lh. (Lhaviyani)",Resorts,4638595.68
2019-05-01,Lh,"Lh. (Lhaviyani)",Guesthouse,690.21
2019-05-01,M,"M. (Meemu)",Guesthouse,921.60
2019-05-01,Male,"Malé City",Hotels,563796.72
