month,atoll_code,atoll_label,establishment_type,usd_amount,mvr_amount
2019-03-01,AA,"AA. (Alif Alif)",Guesthouse,21297.00,326702.37
2019-03-01,ADh,"ADh. (Alif Dhaal)",Resorts,668160.00,10240748.94
2019-03-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,21534.00,330354.75
2019-03-01,B,"B. (Baa)",Resorts,456546.00,7001862.78
2019-03-01,B,"B. (Baa)",Hotels,21594.00,331683.84
2019-03-01,B,"B. (Baa)",Guesthouse,19815.00,304122.87
2019-03-01,Dh,"Dh. (Dhaalu)",Resorts,187914.00,2878895.94
2019-03-01,Dh,"Dh. (Dhaalu)",Guesthouse,603.00,9250.02
2019-03-01,F,"F. (Faafu)",Guesthouse,1860.00,28483.83
2019-03-01,GA,"GA. (Gaafu Alif)",Resorts,93576.00,1431623.40
2019-03-01,GA,"GA. (Gaafu Alif)",Hotels,21966.00,334322.52
2019-03-01,GA,"GA. (Gaafu Alif)",Guesthouse,648.00,9943.74
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,146747.00,2251532.83
2019-03-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,75.00,1149.69
2019-03-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,480.00,7359.57
2019-03-01,HA,"HA. (Haa Alif)",Resorts,74712.00,1141559.52
2019-03-01,HA,"HA. (Haa Alif)",Guesthouse,2214.00,33976.50
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Resorts,18000.00,276480.00
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Hotels,18330.00,280967.88
2019-03-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,915.00,14046.33
2019-03-01,K,"K. (Kaafu)",Resorts,1653526.00,25353988.76
2019-03-01,K,"K. (Kaafu)",Hotels,10698.00,164107.32
2019-03-01,K,"K. (Kaafu)",Guesthouse,103093.00,1581300.54
2019-03-01,L,"L. (Laamu)",Resorts,31530.00,482724.30
2019-03-01,L,"L. (Laamu)",Guesthouse,2199.00,33745.47
2019-03-01,Lh,"Lh. (Lhaviyani)",Resorts,331176.00,5080959.36
2019-03-01,Lh,"Lh. (Lhaviyani)",Guesthouse,108.00,1650.36
2019-03-01,Male,"Malé City",Hotels,44808.00,687755.04
2019-03-01,Male,"Malé City",Guesthouse,73257.00,1123674.51
2019-03-01,N,"N. (Noonu)",Resorts,244572.00,3753603.42
2019-03-01,N,"N. (Noonu)",Guesthouse,2109.00,32373.33
2019-03-01,R,"R. (Raa)",Resorts,308206.00,4730153.32
2019-03-01,R,"R. (Raa)",Guesthouse,30.00,459.90
2019-03-01,S,"S. (Addu)",Resorts,59466.00,911398.62
2019-03-01,S,"S. (Addu)",Hotels,16320.00,250185.60
2019-03-01,S,"S. (Addu)",Guesthouse,1278.00,19583.10
2019-03-01,Sh,"Sh. (Shaviyani)",Resorts,33476.00,513521.84
2019-03-01,Th,"Th. (Thaa)",Resorts,18090.00,277500.60
2019-03-01,V,"V. (Vaavu)",Resorts,72822.00,1116361.26
2019-03-01,V,"V. (Vaavu)",Guesthouse,27174.00,416729.97
2019-04-01,AA,"AA. (Alif Alif)",Resorts,395160.00,6069432.12
2019-04-01,AA,"AA. (Alif Alif)",Guesthouse,26901.00,412624.65
2019-04-01,ADh,"ADh. (Alif Dhaal)",Resorts,574182.00,8810866.26
2019-04-01,ADh,"ADh. (Alif Dhaal)",Guesthouse,18885.00,289674.42
2019-04-01,B,"B. (Baa)",Resorts,480240.00,7371384.30
2019-04-01,B,"B. (Baa)",Hotels,16626.00,255541.62
2019-04-01,B,"B. (Baa)",Guesthouse,15255.00,234123.45
2019-04-01,Dh,"Dh. (Dhaalu)",Resorts,312936.00,4803914.82
2019-04-01,Dh,"Dh. (Dhaalu)",Guesthouse,498.00,7639.86
2019-04-01,F,"F. (Faafu)",Guesthouse,1875.00,28808.07
2019-04-01,GA,"GA. (Gaafu Alif)",Resorts,73926.00,1134944.76
2019-04-01,GA,"GA. (Gaafu Alif)",Hotels,20382.00,313067.52
2019-04-01,GA,"GA. (Gaafu Alif)",Guesthouse,222.00,3409.92
2019-04-01,GDh,"GDh. (Gaafu Dhaalu)",Resorts,93473.00,1434810.40
2019-04-01,GDh,"GDh. (Gaafu Dhaalu)",Guesthouse,120.00,1841.01
2019-04-01,Gn,"Gn. (Fuvahmulah)",Guesthouse,510.00,7820.49
2019-04-01,HA,"HA. (Haa Alif)",Resorts,70050.00,1075993.02
2019-04-01,HA,"HA. (Haa Alif)",Guesthouse,1911.00,29316.66
2019-04-01,HDh,"HDh. (Haa Dhaalu)",Hotels,17352.00,266700.24
2019-04-01,HDh,"HDh. (Haa Dhaalu)",Guesthouse,330.00,5059.41
2019-04-01,K,"K. (Kaafu)",Resorts,1831407.00,28116072.24
2019-04-01,K,"K. (Kaafu)",Hotels,12060.00,185121.00
2019-04-01,K,"K. (Kaafu)",Guesthouse,75388.00,1156731.10
2019-04-01,L,"L. (Laamu)",Resorts,24132.00,370667.52
2019-04-01,L,"L. (Laamu)",Guesthouse,675.00,10352.43
2019-04-01,Lh,"Lh. (Lhaviyani)",Resorts,336426.00,5158765.02
2019-04-01,Lh,"Lh. (Lhaviyani)",Guesthouse,57.00,875.52
2019-04-01,M,"M. (Meemu)",Guesthouse,24.00,368.16
2019-04-01,Male,"Malé City",Hotels,35988.00,551770.80
